code,,tasks
13-1111.00,13-1111,"['', 'Plan study of work problems and procedures, such as organizational change, communications, information flow, integrated production methods, inventory control, or cost analysis.', 'Occupation-Specific Information', 'Interview personnel and conduct on-site observation to ascertain unit functions, work performed, and methods, equipment, and personnel used.', 'Analyze data gathered and develop solutions or alternative methods of proceeding.', 'Review forms and reports and confer with management and users about format, distribution, and purpose, identifying problems and improvements.', 'Design, evaluate, recommend, and approve changes of forms and reports.', 'Document findings of study and prepare recommendations for implementation of new systems, procedures, or organizational changes.', 'Confer with personnel concerned to ensure successful functioning of newly implemented systems or procedures.', 'Develop and implement records management program for filing, protection, and retrieval of records, and assure compliance with program.', 'Recommend purchase of storage equipment and design area layout to locate equipment in space available.', ' 5 ofAll 11 displayed (Show allShow top 5)', 'Gather and organize information on problems or procedures.', 'Tasks', 'Prepare manuals and train workers in use of new forms, reports, procedures or equipment, according to organizational policy.']"
39-5092.00,39-5092,"['', 'Roughen surfaces of fingernails, using abrasive wheel.', 'Assess the condition of clients' hands, remove dead skin, and massage hands.', 'Whiten underside of nails with white paste or pencils.', 'Promote and sell nail care products.', 'Remove previously applied nail polish, using liquid remover and swabs.', 'Use rotary abrasive wheels to shape and smooth nails or artificial extensions.', 'Occupation-Specific Information', ' 5 ofAll 18 displayed (Show allShow top 5)', 'Extend nails using powder, solvent, and paper forms attached to tips of customers' fingers to support and shape artificial nails.', 'Clean and sanitize tools and work environment.', 'Polish nails, using powdered polish and buffer.', 'Shape and smooth ends of nails, using scissors, files, or emery boards.', 'Treat nails to repair or improve strength and resilience by wrapping.', 'Apply undercoat and clear or colored polish onto nails with brush.', 'Advise clients on nail care and use of products and colors.', 'Decorate clients' nails by piercing or attaching ornaments or designs.', 'Tasks', 'Prepare nail cuticles with water and oil, using cuticle knives to push back cuticles and scissors or nippers to trim cuticles.', 'Schedule client appointments and accept payments.', 'Prepare customers' nails in soapy water, using swabs, files, and orange sticks.', 'Maintain supply inventories and records of client services.']"
49-9095.00,49-9095,"['', 'List parts needed, estimate costs, and plan work procedures, using parts lists, technical manuals, and diagrams.', 'Install, repair, and replace units, fixtures, appliances, and other items and systems in mobile and modular homes, prefabricated buildings, or travel trailers, using hand tools or power tools.', 'Connect water hoses to inlet pipes of plumbing systems, and test operation of plumbing fixtures.', 'Remove damaged exterior panels, repair and replace structural frame members, and seal leaks, using hand tools.', 'Occupation-Specific Information', 'Connect electrical systems to outside power sources and activate switches to test the operation of appliances and light fixtures.', 'Reset hardware, using chisels, mallets, and screwdrivers.', 'Locate and repair frayed wiring, broken connections, or incorrect wiring, using ohmmeters, soldering irons, tape, and hand tools.', 'Seal open sides of modular units to prepare them for shipment, using polyethylene sheets, nails, and hammers.', 'Confer with customers or read work orders to determine the nature and extent of damage to units.', ' 5 ofAll 14 displayed (Show allShow top 5)', 'Repair leaks in plumbing or gas lines, using caulking compounds and plastic or copper pipe.', 'Tasks', 'Move and set up mobile homes or prefabricated buildings on owners' lots or at mobile home parks.', 'Inspect, examine, and test the operation of parts or systems to evaluate operating condition and to determine if repairs are needed.', 'Refinish wood surfaces on cabinets, doors, moldings, and floors, using power sanders, putty, spray equipment, brushes, paints, or varnishes.', 'Open and close doors, windows, and drawers to test their operation, trimming edges to fit, using jackplanes or drawknives.']"
17-2112.03,17-2112,"['', 'Evaluate current or proposed manufacturing processes or practices for environmental sustainability, considering factors such as greenhouse gas emissions, air pollution, water pollution, energy use, or waste creation.', 'Incorporate new manufacturing methods or processes to improve existing operations.', 'Provide technical expertise or support related to manufacturing.', 'Troubleshoot new or existing product problems involving designs, materials, or processes.', 'Communicate manufacturing capabilities, production schedules, or other information to facilitate production processes.', 'Review product designs for manufacturability or completeness.', 'Occupation-Specific Information', 'Redesign packaging for manufactured products to minimize raw material use or waste.', 'Investigate or resolve operational problems, such as material use variances or bottlenecks.', 'Read current literature, talk with colleagues, participate in educational programs, attend meetings or workshops, or participate in professional organizations or conferences to keep abreast of developments in the manufacturing field.', 'Purchase equipment, materials, or parts.', 'Design, install, or troubleshoot manufacturing equipment.', 'Evaluate manufactured products according to specifications and quality standards.', 'Prepare documentation for new manufacturing processes or engineering procedures.', 'Determine root causes of failures or recommend changes in designs, tolerances, or processing methods, using statistical procedures.', 'Develop sustainable manufacturing technologies to reduce greenhouse gas emissions, minimize raw material use, replace toxic materials with non-toxic materials, replace non-renewable materials with renewable materials, or reduce waste.', 'Train production personnel in new or existing methods.', ' 5 ofAll 24 displayed (Show allShow top 5)', 'Tasks', 'Supervise technicians, technologists, analysts, administrative staff, or other engineers.', 'Identify opportunities or implement changes to improve manufacturing processes or products or to reduce costs, using knowledge of fabrication processes, tooling and production equipment, assembly methods, quality control standards, or product design, materials and parts.', 'Apply continuous improvement methods, such as lean manufacturing, to enhance manufacturing quality, reliability, or cost-effectiveness.', 'Estimate costs, production times, or staffing requirements for new designs.', 'Prepare reports summarizing information or trends related to manufacturing performance.', 'Design tests of finished products or process capabilities to establish standards or validate process requirements.', 'Analyze the financial impacts of sustainable manufacturing processes or sustainable product manufacturing.', 'Design layout of equipment or workspaces to achieve maximum efficiency.']"
17-2121.00,17-2121,"['', 'Conduct environmental, operational, or performance tests on marine machinery and equipment.', 'Review work requests and compare them with previous work completed on ships to ensure that costs are economically sound.', 'Perform monitoring activities to ensure that ships comply with international regulations and standards for life-saving equipment and pollution preventatives.', 'Analyze data to determine feasibility of product proposals.', 'Procure materials needed to repair marine equipment and machinery.', 'Maintain contact with, and formulate reports for, contractors and clients to ensure completion of work at minimum cost.', 'Design complete hull and superstructure according to specifications and test data, in conformity with standards of safety, efficiency, and economy.', 'Supervise other engineers and crew members and train them for routine and emergency duties.', 'Occupation-Specific Information', 'Conduct analytical, environmental, operational, or performance studies to develop designs for products, such as marine engines, equipment, and structures.', 'Evaluate performance of craft during dock and sea trials to determine design changes and conformance with national and international standards.', 'Act as liaisons between ships' captains and shore personnel to ensure that schedules and budgets are maintained, and that ships are operated safely and efficiently.', 'Confer with research personnel to clarify or resolve problems and to develop or modify designs.', 'Prepare, or direct the preparation of, product or system layouts and detailed drawings and schematics.', 'Inspect marine equipment and machinery to draw up work requests and job specifications.', 'Maintain records of engineering department activities, including expense records and details of equipment maintenance and repairs.', 'Investigate and observe tests on machinery and equipment for compliance with standards.', 'Prepare technical reports for use by engineering, management, or sales personnel.', 'Check, test, and maintain automatic controls and alarm systems.', 'Conduct analyses of ships, such as stability, structural, weight, and vibration analyses.', 'Tasks', 'Design layout of craft interior, including cargo space, passenger compartments, ladder wells, and elevators.', ' 5 ofAll 30 displayed (Show allShow top 5)', 'Oversee construction and testing of prototype in model basin and develop sectional and waterline curves of hull to establish center of gravity, ideal hull form, and buoyancy and stability data.', 'Evaluate operation of marine equipment during acceptance testing and shakedown cruises.', 'Maintain and coordinate repair of marine machinery and equipment for installation on vessels.', 'Prepare plans, estimates, design and construction schedules, and contract specifications, including any special provisions.', 'Determine conditions under which tests are to be conducted, as well as sequences and phases of test operations.', 'Study design proposals and specifications to establish basic characteristics of craft, such as size, weight, speed, propulsion, displacement, and draft.', 'Schedule machine overhauls and the servicing of electrical, heating, ventilation, refrigeration, water, and sewage systems.', 'Design and oversee testing, installation, and repair of marine apparatus and equipment.', 'Coordinate activities with regulatory bodies to ensure repairs and alterations are at minimum cost and consistent with safety.', 'Establish arrangement of boiler room equipment and propulsion machinery, heating and ventilating systems, refrigeration equipment, piping, and other functional equipment.']"
13-1161.00,13-1161,"['', 'Collect and analyze data on customer demographics, preferences, needs, and buying habits to identify potential markets and factors affecting product demand.', 'Occupation-Specific Information', 'Devise and evaluate methods and procedures for collecting data, such as surveys, opinion polls, or questionnaires, or arrange to obtain existing data.', 'Measure the effectiveness of marketing, advertising, and communications programs and strategies.', 'Forecast and track marketing and sales trends, analyzing collected data.', ' 5 ofAll 13 displayed (Show allShow top 5)', 'Gather data on competitors and analyze their prices, sales, and method of marketing and distribution.', 'Seek and provide information to help companies determine their position in the marketplace.', 'Monitor industry statistics and follow trends in trade literature.', 'Attend staff conferences to provide management with information and proposals concerning the promotion, distribution, design, and pricing of company products or services.', 'Measure and assess customer and employee satisfaction.', 'Develop and implement procedures for identifying advertising needs.', 'Tasks', 'Prepare reports of findings, illustrating data graphically and translating complex findings into written text.', 'Direct trained survey interviewers.', 'Conduct research on consumer opinions and marketing strategies, collaborating with marketing professionals, statisticians, pollsters, and other professionals.']"
11-2021.00,11-2021,"['', 'Consult with buying personnel to gain advice regarding environmentally sound or sustainable products.', 'Initiate market research studies, or analyze their findings.', 'Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.', 'Coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services.', 'Develop business cases for environmental marketing strategies.', 'Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities.', 'Select products or accessories to be displayed at trade or special production shows.', 'Occupation-Specific Information', 'Recommend modifications to products, packaging, production processes, or other characteristics to improve the environmental soundness or sustainability of products.', 'Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.', 'Consult with buying personnel to gain advice regarding the types of products or services expected to be in demand.', 'Compile lists describing product or service offerings.', 'Develop pricing strategies, balancing firm objectives and customer satisfaction.', 'Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.', 'Consult with product development personnel on product specifications, such as design, color, or packaging.', 'Confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors.', 'Tasks', 'Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.', 'Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.', ' 5 ofAll 20 displayed (Show allShow top 5)', 'Conduct economic or commercial surveys to identify potential markets for products or services.', 'Integrate environmental information into product or company marketing strategies, policies, or activities.', 'Negotiate contracts with vendors or distributors to manage product distribution, establishing distribution networks or developing distribution strategies.']"
21-1013.00,21-1013,"['', 'Follow up on results of counseling programs and clients' adjustments to determine effectiveness of programs.', 'Maintain case files that include activities, progress notes, evaluations, and recommendations.', 'Occupation-Specific Information', 'Confer with other counselors, doctors, and professionals to analyze individual cases and to coordinate counseling services.', 'Provide family counseling and treatment services to inmates participating in substance abuse programs.', 'Ask questions that will help clients identify their feelings and behaviors.', 'Provide instructions to clients on how to obtain help with legal, financial, and other personal issues.', 'Confer with clients to develop plans for posttreatment activities.', ' 5 ofAll 16 displayed (Show allShow top 5)', 'Write evaluations of parents and children for use by courts deciding divorce and custody cases, testifying in court if necessary.', 'Gather information from doctors, schools, social workers, juvenile counselors, law enforcement personnel, and others to make recommendations to courts for resolution of child custody or visitation disputes.', 'Determine whether clients should be counseled or referred to other specialists in such fields as medicine, psychiatry, or legal aid.', 'Tasks', 'Provide public education and consultation to other professionals or groups regarding counseling services, issues, and methods.', 'Encourage individuals and family members to develop and use skills and strategies for confronting their problems in a constructive manner.', 'Counsel clients on concerns, such as unsatisfactory relationships, divorce and separation, child rearing, home management, or financial difficulties.', 'Supervise other counselors, social service staff, and assistants.', 'Develop and implement individualized treatment plans addressing family relationship problems, destructive patterns of behavior, and other personal issues.', 'Collect information about clients, using techniques such as testing, interviewing, discussion, or observation.']"
31-9011.00,31-9011,"['', 'Prepare and blend oils and apply the blends to clients' skin.', 'Consult with other health care professionals, such as physiotherapists, chiropractors, physicians, and psychologists, to develop treatment plans for clients.', 'Apply finger and hand pressure to specific points of the body.', 'Massage and knead muscles and soft tissues of the body to provide treatment for medical conditions, injuries, or wellness maintenance.', 'Occupation-Specific Information', 'Perform other adjunctive therapies or treatment techniques in addition to massage.', 'Use complementary aids, such as infrared lamps, wet compresses, ice, and whirlpool baths to promote clients' recovery, relaxation, and well-being.', 'Refer clients to other types of therapists when necessary.', ' 5 ofAll 14 displayed (Show allShow top 5)', 'Assess clients' soft tissue condition, joint quality and function, muscle strength, and range of motion.', 'Treat clients in professional settings or travel to clients' offices and homes.', 'Tasks', 'Confer with clients about their medical histories and problems with stress or pain to determine how massage will be most helpful.', 'Maintain treatment records.', 'Maintain massage areas by restocking supplies or sanitizing equipment.', 'Provide clients with guidance and information about techniques for postural improvement and stretching, strengthening, relaxation, and rehabilitative exercises.', 'Develop and propose client treatment plans that specify which types of massage are to be used.']"
17-2131.00,17-2131,"['', 'Determine appropriate methods for fabricating and joining materials.', 'Modify properties of metal alloys, using thermal and mechanical treatments.', 'Perform managerial functions, such as preparing proposals and budgets, analyzing labor costs, and writing reports.', 'Conduct training sessions on new material products, applications, or manufacturing methods for customers and their employees.', 'Review new product plans, and make recommendations for material selection, based on design objectives such as strength, weight, heat resistance, electrical conductivity, and cost.', 'Guide technical staff in developing materials for specific uses in projected products or devices.', 'Analyze product failure data and laboratory test results to determine causes of problems and develop solutions.', 'Occupation-Specific Information', 'Conduct or supervise tests on raw materials or finished products to ensure their quality.', 'Present technical information at conferences.', 'Write for technical magazines, journals, and trade association publications.', 'Supervise the work of technologists, technicians, and other engineers and scientists.', 'Monitor material performance, and evaluate its deterioration.', 'Design processing plants and equipment.', 'Plan and implement laboratory operations to develop material and fabrication procedures that meet cost, product specification, and performance standards.', ' 5 ofAll 21 displayed (Show allShow top 5)', 'Design and direct the testing or control of processing procedures.', 'Plan and evaluate new projects, consulting with other engineers and corporate executives, as necessary.', 'Tasks', 'Supervise production and testing processes in industrial settings, such as metal refining facilities, smelting or foundry operations, or nonmetallic materials production operations.', 'Replicate the characteristics of materials and their components, using computers.', 'Evaluate technical specifications and economic factors relating to process or product design objectives.', 'Teach in colleges and universities.', 'Solve problems in a number of engineering fields, such as mechanical, chemical, electrical, civil, nuclear, and aerospace.']"
19-2032.00,19-2032,"['', 'Test material samples for tolerance under tension, compression, and shear to determine the cause of metal failures.', 'Prepare reports, manuscripts, proposals, and technical manuals for use by other scientists and requestors, such as sponsors and customers.', 'Plan laboratory experiments to confirm feasibility of processes and techniques used in the production of materials with special characteristics.', 'Test metals to determine conformance to specifications of mechanical strength, strength-weight ratio, ductility, magnetic and electrical properties, and resistance to abrasion, corrosion, heat, and cold.', 'Conduct research on the structures and properties of materials, such as metals, alloys, polymers, and ceramics, to obtain information that could be used to develop new products or enhance existing ones.', 'Devise testing methods to evaluate the effects of various conditions on particular materials.', 'Occupation-Specific Information', 'Perform experiments and computer modeling to study the nature, structure, and physical and chemical properties of metals and their alloys, and their responses to applied forces.', 'Recommend materials for reliable performance in various environments.', ' 5 ofAll 16 displayed (Show allShow top 5)', 'Test individual parts and products to ensure that manufacturer and governmental quality and safety standards are met.', 'Visit suppliers of materials or users of products to gather specific information.', 'Supervise and monitor production processes to ensure efficient use of equipment, timely changes to specifications, and project completion within time frame and budget.', 'Tasks', 'Write research papers for publication in scientific journals.', 'Research methods of processing, forming, and firing materials to develop such products as ceramic dental fillings, unbreakable dinner plates, and telescope lenses.', 'Confer with customers to determine how to tailor materials to their needs.', 'Determine ways to strengthen or combine materials or develop new materials with new or specific properties for use in a variety of products and applications.', 'Teach in colleges and universities.']"
25-1022.00,25-1022,"['', 'Keep abreast of developments and technological advances in the mathematical field by reading current literature, talking with colleagues, and participating in professional conferences.', 'Supervise undergraduate or graduate teaching, internship, and research work.', 'Provide professional consulting services to government or industry.', 'Conduct faculty performance evaluations.', 'Develop department and course schedules.', 'Act as advisers to student organizations.', 'Occupation-Specific Information', 'Advise students on academic and vocational curricula and on career issues.', 'Compile bibliographies of specialized materials for outside reading assignments.', 'Compile, administer, and grade examinations, or assign this work to others.', 'Write grant proposals to procure external research funding.', 'Initiate, facilitate, and moderate classroom discussions.', ' 5 ofAll 24 displayed (Show allShow top 5)', 'Maintain student attendance records, grades, and other required records.', 'Perform administrative duties, such as serving as department head.', 'Evaluate and grade students' class work, assignments, and papers.', 'Maintain regularly scheduled office hours to advise and assist students.', 'Tasks', 'Participate in campus and community events.', 'Conduct research in a particular field of knowledge and publish findings in books, professional journals, or electronic media.', 'Plan, evaluate, and revise curricula, course content, and course materials and methods of instruction.', 'Participate in student recruitment, registration, and placement activities.', 'Prepare and deliver lectures to undergraduate or graduate students on topics such as linear algebra, differential equations, and discrete mathematics.', 'Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.', 'Prepare course materials, such as syllabi, homework assignments, and handouts.', 'Collaborate with colleagues to address teaching and research issues.', 'Select and obtain materials and supplies, such as textbooks.']"
15-2021.00,15-2021,"['', 'Disseminate research by writing reports, publishing papers, or presenting at professional conferences.', 'Occupation-Specific Information', 'Conduct research to extend mathematical knowledge in traditional areas, such as algebra, geometry, probability, and logic.', 'Develop computational methods for solving problems that occur in areas of science and engineering or that come from applications in business or industry.', 'Design, analyze, and decipher encryption systems designed to transmit military, political, financial, or law-enforcement-related information in code.', 'Perform computations and apply methods of numerical analysis to data.', 'Address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.', 'Maintain knowledge in the field by reading professional journals, talking with other mathematicians, and attending professional conferences.', 'Develop mathematical or statistical models of phenomena to be used for analysis or for computational simulation.', ' 5 ofAll 11 displayed (Show allShow top 5)', 'Develop new principles and new relationships between existing mathematical principles to advance mathematical science.', 'Assemble sets of assumptions, and explore the consequences of each set.', 'Tasks', 'Apply mathematical theories and techniques to the solution of practical problems in business, engineering, the sciences, or other fields.']"
51-3022.00,51-3022,"['', 'Occupation-Specific Information', 'Process primal parts into cuts that are ready for retail use.', 'Use knives, cleavers, meat saws, bandsaws, or other equipment to perform meat cutting and trimming.', 'Clean, trim, slice, and section carcasses for future processing.', ' 5 ofAll 13 displayed (Show allShow top 5)', 'Separate meats and byproducts into specified containers and seal containers.', 'Prepare ready-to-heat foods by filleting meat or fish or cutting it into bite-sized pieces, preparing and adding vegetables or applying sauces or breading.', 'Prepare sausages, luncheon meats, hot dogs, and other fabricated meat products, using meat trimmings and hamburger meat.', 'Clean and salt hides.', 'Weigh meats and tag containers for weight and contents.', 'Obtain and distribute specified meat or carcass.', 'Produce hamburger meat and meat trimmings.', 'Inspect meat products for defects, bruises or blemishes and remove them along with any excess fat.', 'Remove parts, such as skin, feathers, scales or bones, from carcass.', 'Tasks', 'Cut and trim meat to prepare for packing.']"
49-9011.00,49-9011,"['', 'Carry springs to tops of doors, using ladders or scaffolding, and attach springs to tracks to install spring systems.', ' 5 ofAll 25 displayed (Show allShow top 5)', 'Operate lifts, winches, or chain falls to move heavy curtain doors.', 'Set doors into place or stack hardware sections into openings after rail or track installation.', 'Lubricate door closer oil chambers, and pack spindles with leather washers.', 'Occupation-Specific Information', 'Complete required paperwork, such as work orders, according to services performed or required.', 'Remove or disassemble defective automatic mechanical door closers, using hand tools.', 'Study blueprints and schematic diagrams to determine appropriate methods of installing or repairing automated door openers.', 'Collect payment upon job completion.', 'Run low voltage wiring on ceiling surfaces, using insulated staples.', 'Clean door closer parts, using caustic soda, rotary brushes, or grinding wheels.', 'Cover treadles with carpeting or other floor covering materials, and test systems by operating treadles.', 'Wind large springs with upward motion of arm.', 'Fasten angle iron back-hangers to ceilings and tracks, using fasteners or welding equipment.', 'Set in and secure floor treadles for door-activating mechanisms, and connect power packs and electrical panelboards to treadles.', 'Cut door stops or angle irons to fit openings.', 'Bore or cut holes in flooring as required for installation, using hand or power tools.', 'Install door frames, rails, steel rolling curtains, electronic-eye mechanisms, or electric door openers and closers, using power tools, hand tools, and electronic test equipment.', 'Install dock seals, bumpers, or shelters.', 'Inspect job sites, assessing headroom, side room, or other conditions to determine appropriateness of door for a given location.', 'Tasks', 'Order replacement springs, sections, or slats.', 'Fabricate replacements for worn or broken parts, using welders, lathes, drill presses, or shaping or milling machines.', 'Adjust doors to open or close with the correct amount of effort, or make simple adjustments to electric openers.', 'Assemble and fasten tracks to structures or bucks, using impact wrenches or welding equipment.', 'Repair or replace worn or broken door parts, using hand tools.', 'Prepare doors for hardware installation, such as drilling holes to install locks.']"
17-3013.00,17-3013,"['', 'Lay out and draw schematic, orthographic, or angle views to depict functional relationships of components, assemblies, systems, and machines.', 'Check dimensions of materials to be used and assign numbers to the materials.', ' 5 ofAll 15 displayed (Show allShow top 5)', 'Occupation-Specific Information', 'Design scale or full-size blueprints of specialty items, such as furniture and automobile body or chassis components.', 'Position instructions and comments onto drawings.', 'Confer with customer representatives to review schematics and answer questions pertaining to installation of systems.', 'Review and analyze specifications, sketches, drawings, ideas, and related data to assess factors affecting component designs and the procedures and instructions to be followed.', 'Shade or color drawings to clarify and emphasize details and dimensions or eliminate background, using ink, crayon, airbrush, and overlays.', 'Modify and revise designs to correct operating deficiencies or to reduce production problems.', 'Produce three-dimensional models, using computer-aided design (CAD) software.', 'Tasks', 'Lay out, draw, and reproduce illustrations for reference manuals and technical publications to describe operation and maintenance of mechanical systems.', 'Compute mathematical formulas to develop and design detailed specifications for components or machinery, using computer-assisted equipment.', 'Coordinate with and consult other workers to design, lay out, or detail components and systems and to resolve design or other problems.', 'Draw freehand sketches of designs, trace finished drawings onto designated paper for the reproduction of blueprints, and reproduce working drawings on copy machines.', 'Develop detailed design drawings and specifications for mechanical equipment, dies, tools, and controls, using computer-assisted drafting (CAD) equipment.', 'Supervise and train other drafters, technologists, and technicians.']"
17-3027.00,17-3027,"['', 'Estimate cost factors including labor and material for purchased and fabricated parts and costs for assembly, testing, or installing.', 'Review project instructions and specifications to identify, modify and plan requirements fabrication, assembly and testing.', 'Assist engineers to design, develop, test, or manufacture industrial machinery, consumer products, or other equipment.', 'Analyze energy requirements and distribution systems to maximize the use of intermittent or inflexible renewable energy sources, such as wind or nuclear.', 'Analyze test results in relation to design or rated specifications and test objectives, and modify or adjust equipment to meet specifications.', 'Draft detail drawing or sketch for drafting room completion or to request parts fabrication by machine, sheet or wood shops.', 'Analyze or estimate production costs, such as labor, equipment, and plant space.', 'Read dials and meters to determine amperage, voltage, electrical output and input at specific operating temperature to analyze parts performance.', 'Design specialized or customized equipment, machines, or structures.', 'Monitor, inspect, or test mechanical equipment.', 'Review project instructions and blueprints to ascertain test specifications, procedures, and objectives, and test nature of technical problems such as redesign.', 'Occupation-Specific Information', 'Design molds, tools, dies, jigs, or fixtures for use in manufacturing processes.', 'Evaluate tool drawing designs by measuring drawing dimensions and comparing with original specifications for form and function using engineering skills.', 'Record test procedures and results, numerical and graphical data, and recommendations for changes in product or test methods.', 'Conduct failure analyses, document results, and recommend corrective actions.', 'Set up prototype and test apparatus and operate test controlling equipment to observe and record prototype test results.', 'Interpret engineering sketches, specifications, or drawings.', 'Set up and conduct tests of complete units and components under operational conditions to investigate proposals for improving equipment performance.', 'Discuss changes in design, method of manufacture and assembly, or drafting techniques and procedures with staff and coordinate corrections.', 'Tasks', 'Prepare equipment inspection schedules, reliability schedules, work plans, or other records.', ' 5 ofAll 30 displayed (Show allShow top 5)', 'Test machines, components, materials, or products to determine characteristics such as performance, strength, or response to stress.', 'Prepare parts sketches and write work orders and purchase requests to be furnished by outside contractors.', 'Assemble or disassemble complex mechanical systems.', 'Conduct statistical studies to analyze or compare production costs for sustainable and nonsustainable designs.', 'Calculate required capacities for equipment of proposed system to obtain specified performance and submit data to engineering personnel for approval.', 'Prepare layouts of machinery, tools, plants, or equipment.', 'Devise, fabricate, or assemble new or modified mechanical components for products such as industrial machinery or equipment, and measuring instruments.', 'Prepare specifications, designs, or sketches for machines, components, or systems related to the generation, transmission, or use of mechanical or fluid energy.', 'Assist mechanical engineers in product testing through activities such as setting up instrumentation for automobile crash tests.', 'Provide technical support to other employees regarding mechanical design, fabrication, testing, or documentation.']"
17-2141.00,17-2141,"['', 'Design integrated mechanical or alternative systems, such as mechanical cooling systems with natural ventilation systems, to improve energy efficiency.', 'Perform personnel functions, such as supervision of production workers, technicians, technologists, or other engineers.', 'Solicit new business.', 'Direct the installation, operation, maintenance, or repair of renewable energy equipment, such as heating, ventilating, and air conditioning (HVAC) or water systems.', 'Oversee installation, operation, maintenance, or repair to ensure that machines or equipment are installed and functioning according to specifications.', 'Recommend design modifications to eliminate machine or system malfunctions.', 'Conduct research that tests or analyzes the feasibility, design, operation, or performance of equipment, components, or systems.', 'Develop or test models of alternate designs or processing methods to assess feasibility, sustainability, operating condition effects, potential new applications, or necessity of modification.', 'Occupation-Specific Information', 'Select or install combined heat units, power units, cogeneration equipment, or trigeneration equipment that reduces energy use or pollution.', 'Recommend the use of utility or energy services that minimize carbon footprints.', 'Estimate costs or submit bids for engineering, construction, or extraction projects.', 'Research and analyze customer design proposals, specifications, manuals, or other data to evaluate the feasibility, cost, or maintenance requirements of designs or applications.', 'Design test control apparatus or equipment or develop procedures for testing products.', 'Specify system components or direct modification of products to ensure conformance with engineering design, performance specifications, or environmental regulations.', 'Develop, coordinate, or monitor all aspects of production, including selection of manufacturing methods, fabrication, or operation of product designs.', 'Provide technical customer service.', 'Calculate energy losses for buildings, using equipment such as computers, combustion analyzers, or pressure gauges.', 'Evaluate mechanical designs or prototypes for energy performance or environmental impact.', 'Study industrial processes to maximize the efficiency of equipment applications, including equipment placement.', 'Provide feedback to design engineers on customer problems or needs.', 'Establish or coordinate the maintenance or safety procedures, service schedule, or supply of materials required to maintain machines or equipment in the prescribed condition.', 'Tasks', 'Research, design, evaluate, install, operate, or maintain mechanical products, equipment, systems or processes to meet requirements.', ' 5 ofAll 28 displayed (Show allShow top 5)', 'Confer with engineers or other personnel to implement operating procedures, resolve system malfunctions, or provide technical information.', 'Read and interpret blueprints, technical drawings, schematics, or computer-generated reports.', 'Investigate equipment failures or difficulties to diagnose faulty operation and recommend remedial actions.', 'Assist drafters in developing the structural design of products, using drafting tools or computer-assisted drafting equipment or software.', 'Write performance requirements for product development or engineering projects.', 'Apply engineering principles or practices to emerging fields, such as robotics, waste management, or biomedical engineering.']"
17-2199.05,17-2199,"['', 'Provide consultation or training on topics such as mechatronics or automated control.', 'Analyze existing development or manufacturing procedures and suggest improvements.', ' 5 ofAll 23 displayed (Show allShow top 5)', 'Develop electronic, mechanical, or computerized processes to perform tasks in dangerous situations, such as underwater exploration or extraterrestrial mining.', 'Design advanced electronic control systems for mechanical systems.', 'Design, develop, or implement control circuits or algorithms for electromechanical or pneumatic devices or systems.', 'Implement or test design solutions.', 'Maintain technical project files.', 'Determine the feasibility, costs, or performance benefits of new mechatronic equipment.', 'Occupation-Specific Information', 'Identify materials appropriate for mechatronic system designs.', 'Monitor or calibrate automated systems, industrial control systems, or system components to maximize efficiency of production.', 'Design mechatronics components for computer-controlled products, such as cameras, video recorders, automobiles, or airplanes.', 'Design or develop automated control systems for environmental applications, such as waste processing, air quality, or water quality systems.', 'Design engineering systems for the automation of industrial tasks.', 'Create mechanical design documents for parts, assemblies, or finished products.', 'Upgrade the design of existing devices by adding mechatronic elements.', 'Tasks', 'Apply mechatronic or automated solutions to the transfer of materials, components, or finished goods.', 'Publish engineering reports documenting design details or qualification test results.', 'Create embedded software design programs.', 'Oversee the work of contractors in accordance with project requirements.', 'Design self-monitoring mechanical systems, such as gear systems that monitor loading or condition of systems to detect and prevent failures.', 'Create mechanical models to simulate mechatronic design concepts.', 'Research, select, or apply sensors, communication technologies, or control devices for motion control, position sensing, pressure sensing, or electronic communication.', 'Design advanced precision equipment for accurate or controlled applications.']"
